businessName,DBAName,Address,CITY,STATE,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,licenseadddttm,dayphn,Property_ID,Location
Air France Lounge,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,12/31/14 11:30,12016383677,341351,"(0.000000000, 0.000000000)"
Americano Espresso Bar,,155 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/13/07 8:24,16175938079,94405,"(42.373853000, -71.038885000)"
Angela's Cafe,,131 Lexington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/2/07 13:36,10000000000,85525,"(42.378530000, -71.035000000)"
Angela's Cafe II,,1012 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/2/16 11:02,16175695267,162035,"(42.387115000, -71.006309000)"
Asian Too Express,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/18/08 13:37,16175617180,,"(0.000000000, 0.000000000)"
Au Bon Pain (Food Court U S Air),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/5/07 9:00,16178975079,,"(0.000000000, 0.000000000)"
Au Bon Pain (Space 49),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/17/08 9:52,16178975079,,"(0.000000000, 0.000000000)"
Au Bon Pain (US Airways),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/21/07 13:20,16178975079,,"(0.000000000, 0.000000000)"
Auntie Anne's (Trmnl A  Gate A 18),,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/9/11 9:03,16176246006,341353,"(0.000000000, 0.000000000)"
Bar Medallo,,411 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,3/23/11 15:26,16175672727,30551,"(42.379899000, -71.026814000)"
BARNEY'S GRILL,,299 Havre,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175677170,156023,"(42.376526000, -71.033798000)"
Berkshire Farms Market,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/8/13 9:59,10000000000,341353,"(0.000000000, 0.000000000)"
Billares Colombia,,16 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,3/1/13 12:53,16175695740,14624,"(42.375290000, -71.038300000)"
Bohemios Restaurant,,30 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/11/15 13:52,16175617777,156396,"(42.375390000, -71.038018000)"
Bonfire By Todd English,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/6/07 10:19,12406944746,,"(0.000000000, 0.000000000)"
Boston Beer Works (Pier B),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,7/2/07 10:18,14157307532,,"(0.000000000, 0.000000000)"
Boston Beer Works (Pier C),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,2/25/08 9:47,14157307532,,"(0.000000000, 0.000000000)"
British Airways Lounge,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,1/30/17 10:05,19149355310,341351,"(0.000000000, 0.000000000)"
Burger King,,1 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/23/10 13:11,16172473763,156456,"(42.371650000, -71.042779000)"
Burger King,,500 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/17/12 11:11,10000000000,341351,"(0.000000000, 0.000000000)"
Burger King,,944 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10005698755,155885,"(42.386166000, -71.009530000)"
Burger King # 16370,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/1/10 7:57,10000000000,341352,"(0.000000000, 0.000000000)"
CABANA GRILL,,254 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175610833,14691,"(42.378610000, -71.029360000)"
Cactus Grill,,42 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/7/07 12:52,17812670283,92887,"(42.370140000, -71.039160000)"
Cafe GiGu,,102 Meridian,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,9/29/09 9:53,10000000000,,"(0.000000000, 0.000000000)"
CAFE NAPOLI,,81 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175673018,30623,"(42.371833000, -71.036223000)"
Cafe Presto,,1 Hotel,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/14/16 13:16,16175686700,,"(0.000000000, 0.000000000)"
Cafeteria Y Pizzeria Mi Colombia,,50 Maverick,East Boston,MA,2128,Active,FS,Eating & Drinking,11/6/17 9:37,16175671227,92897,"(42.370170000, -71.038680000)"
Camden Food Co,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/3/15 13:34,17037292333,,"(0.000000000, 0.000000000)"
Camp Harborview,,  Long Island,East Boston,MA,2128,Active,FS,Eating & Drinking,6/27/07 13:16,16176067123,,"(0.000000000, 0.000000000)"
CANTON EATERY,,339 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/8/13 11:02,16176933400,351594,"(0.000000000, 0.000000000)"
Casa Colombia Rest. Ice Cream & Bakery,,14 William C Kelly,East Boston,MA,2128,Active,FS,Eating & Drinking,4/16/13 8:53,16175696508,151120,"(42.374584000, -71.038710000)"
CHINESE DRAGON,,380 Chelsea,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16175614009,30536,"(42.379336000, -71.028070000)"
Cisco Brew Pub of Nantucket,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,2/25/08 11:01,15085622568,,"(0.000000000, 0.000000000)"
Cosi (Pier B) Air Canada,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/20/07 19:00,15084352100,,"(0.000000000, 0.000000000)"
Cosi American,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/14/07 10:43,15084352100,341353,"(0.000000000, 0.000000000)"
Courtyard Marriott Logan Airport,,225 William F McClellan,East Boston,MA,2128,Active,FS,Eating & Drinking,9/14/17 13:12,16175695250,336914,"(42.387250000, -71.016560000)"
Craft Table & Bar,,107 Porter,East Boston,MA,2128,Active,FS,Eating & Drinking,1/12/18 13:34,16174187820,112038,"(42.372990000, -71.036155000)"
Cunard Tavern,,24 Orleans,East Boston,MA,2128,Active,FS,Eating & Drinking,7/15/16 9:54,16175677609,393468,"(0.000000000, 0.000000000)"
Currito Burrito,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/20/07 11:09,16175671112,,"(0.000000000, 0.000000000)"
Currito Burrito,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/21/15 12:19,10000000000,,"(0.000000000, 0.000000000)"
DACOOPA SUB & PIZZA,,474 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175673399,122682,"(42.380140000, -71.027290000)"
DELTA SATELLITE CROWN RM,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16176344590,,"(0.000000000, 0.000000000)"
Delta Sky Club Trmnl A Main,,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,3/20/15 13:25,16175682038,341357,"(42.364539000, -71.021817000)"
DEM & TED INC.  PIZZA SHUTTLE,,239 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16170000000,158185,"(42.375806000, -71.038929000)"
Deparma,,182 Sumner,East Boston,MA,2128,Active,FS,Eating & Drinking,10/17/16 14:26,16175676970,170104,"(42.369371000, -71.040322000)"
Dine Boston,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,14157307532,341351,"(0.000000000, 0.000000000)"
Domino's Pizza,,1144 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16176697072,122464,"(42.384600000, -71.000290000)"
DONNA'S RESTAURANT,,978 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175689314,157089,"(42.387008000, -71.007351000)"
Dough East Boston,,20 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/29/07 13:58,16173082228,92987,"(42.371665000, -71.042087000)"
Dozzi,,336 Sumner,East Boston,MA,2128,Active,FS,Eating & Drinking,8/4/09 11:28,16175610038,155729,"(42.367286000, -71.035739000)"
Dunkin Donuts,,100 Service,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,10/14/08 10:38,16175411911,157261,"(42.369140000, -71.029816000)"
Dunkin Donuts,,15 Transportation,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/15/14 14:17,16175411911,344514,"(0.000000000, 0.000000000)"
Dunkin Donuts,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/13/15 14:27,10000000000,,"(0.000000000, 0.000000000)"
Dunkin Donuts,,31 WM C KELLY,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,19788981250,,"(0.000000000, 0.000000000)"
Dunkin Donuts,,400 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,10/19/16 15:24,16175411911,343936,"(42.366875000, -71.020905000)"
Dunkin Donuts (Front Foodcourt),,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/10/16 13:30,10000000000,,"(0.000000000, 0.000000000)"
Dunkin Donuts (TRMNL-C Baggage Area),,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/13/15 14:15,10000000000,,"(0.000000000, 0.000000000)"
Dunkin Donuts Kiosk,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/13/15 14:23,10000000000,,"(0.000000000, 0.000000000)"
Dunkin Donuts Space #86,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/13/15 14:19,10000000000,,"(0.000000000, 0.000000000)"
DUNKIN DONUTS(ARRIVAL),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172655800,,"(0.000000000, 0.000000000)"
DUNKIN DONUTS(DEPARTURE),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16172655800,,"(0.000000000, 0.000000000)"
DUNKIN' DONUTS(RMG DONUTS LLC),,13 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175694919,92866,"(42.368982000, -71.039212000)"
DUNKIN' DONUTS(RMG DONUTS LLC),,951 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,17813917590,14946,"(42.385890000, -71.008350000)"
DUNKIN DONUTS(SATELLITE),,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175411911,,"(0.000000000, 0.000000000)"
Dunkin Donuts/Airside,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/27/07 10:55,16175411911,,"(0.000000000, 0.000000000)"
DUNKIN DONUTS/WALDWIN GROUP,,500 LOGAN AIRPORT TRMNL E,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/22/07 14:49,16175411911,,"(0.000000000, 0.000000000)"
Dunkin Donuts-Amer Airlines/Landside,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/4/07 10:07,16175411911,,"(0.000000000, 0.000000000)"
DUNKIN DONUTS-U S AIR,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/4/07 9:52,16175411911,,"(0.000000000, 0.000000000)"
Durgin Park,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,10/17/12 11:25,16176346097,341351,"(0.000000000, 0.000000000)"
East Boston House of Pizza,,271 Meridian,East Boston,MA,2128,Active,FS,Eating & Drinking,1/21/14 13:57,17816080899,158115,"(42.376300000, -71.038959000)"
East Boston Pop Warner,,143 Porter,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/4/13 13:57,18572581868,344495,"(0.000000000, 0.000000000)"
EDDIE C'S,,34 MAVERICK,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16174682125,,"(0.000000000, 0.000000000)"
EL CHALAN,,405 Chelsea,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16170000000,30547,"(42.379767000, -71.027000000)"
EL KIOSCO,,972 Saratoga,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16178400332,157343,"(42.387091000, -71.007580000)"
El Paisa Restaurant #2,,215 Border,East Boston,MA,2128,Active,FS,Eating & Drinking,10/13/17 10:50,16175698900,162346,"(42.375594000, -71.039554000)"
El Palmar Restaurant,,290 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/31/15 13:20,16175698600,14702,"(42.379018000, -71.028590000)"
EL PENOL RESTAURANT,,54 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16175690100,156292,"(42.375798000, -71.037101000)"
El Rinconcito,,226 Sumner,East  Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/21/12 8:31,16175680028,342947,"(0.000000000, 0.000000000)"
ELITE DONUT SHOP,,350 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,16175679278,155679,"(42.379626000, -71.026928000)"
EMBASSY SUITES BOSTON (FS),,207 Porter,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175675000,157095,"(42.370435000, -71.031732000)"
Emirates Lounge,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,1/30/17 10:24,19149355310,341351,"(0.000000000, 0.000000000)"
Fresh City,,100 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/29/10 12:04,16036823082,341357,"(42.364539000, -71.021817000)"
Friendly's,,100 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/16/15 13:55,16175616478,341357,"(42.364539000, -71.021817000)"
Frio Rico,,360 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/10/07 12:51,16178319319,14723,"(42.379850000, -71.026580000)"
Fuel America,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/10/14 9:03,17814241604,341353,"(0.000000000, 0.000000000)"
Fuel America,,500 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/4/16 8:34,17817249366,341351,"(0.000000000, 0.000000000)"
GAME-ON,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175232727,,"(0.000000000, 0.000000000)"
Great Chef,,390 Chelsea,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,10005693100,158143,"(42.379493000, -71.027910000)"
Green Express,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/6/12 9:19,16175671112,341352,"(0.000000000, 0.000000000)"
HARBOR PACIFIC,,235 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/13/16 11:49,16175671088,351585,"(0.000000000, 0.000000000)"
Harborside Cafe,,1 Harborside,East Boston,MA,2128,Active,FS,Eating & Drinking,6/21/13 12:47,16175671236,155970,"(42.363408000, -71.025698000)"
Harpoon Tap Room,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175619002,,"(0.000000000, 0.000000000)"
HILTON BOSTON LOGAN AIRPORT,,1 Hotel,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175686700,,"(0.000000000, 0.000000000)"
HILTON GARDEN INN EAST BOSTON,,100 Boardman,East Boston,MA,2128,Active,FS,Eating & Drinking,4/8/14 14:36,15086791180,347411,"(0.000000000, 0.000000000)"
Honey Dew Donuts,,470 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/27/09 9:30,18579912021,,"(0.000000000, 0.000000000)"
Hong Kong Harbour,,5 Maverick,East Boston,MA,2128,Active,FS,Eating & Drinking,7/7/08 9:00,16175693855,92896,"(42.368880000, -71.039276000)"
HOST-JOHN ROCKETS-GATE 28,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174386184,341352,"(0.000000000, 0.000000000)"
HOST-STARBUCKS (GATE B31),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/10/07 11:52,16174386338,,"(0.000000000, 0.000000000)"
HOST-STARBUCKS-GATE C28 Trmnl C,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/10/07 11:29,16174386338,341352,"(0.000000000, 0.000000000)"
Host-Wolfgang Pucks-Gate 28,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174386184,,"(0.000000000, 0.000000000)"
HYATT CONF. & HOTEL (FS),,101 Harborside,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:34,16175681234,155864,"(42.359198000, -71.027191000)"
Jerry Remy's Express,,300 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,8/23/16 11:00,15082928643,,"(0.000000000, 0.000000000)"
Jeveli's,,387 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:33,16175679539,155705,"(42.379491000, -71.027388000)"
KELLEY'S SQ. PUB,,84 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175674627,156276,"(42.376231000, -71.035629000)"
KO Catering and Pies,,256 Marginal,East Boston,MA,2128,Active,FS,Eating & Drinking,5/22/12 12:45,16174185234,156128,"(42.364227000, -71.032549000)"
