businessName,DBAName,Address,CITY,STATE,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,licenseadddttm,dayphn,Property_ID,Location
La Abundancia Bakery  Corporation,,59 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/3/14 13:33,18575408209,351703,"(0.000000000, 0.000000000)"
La Baguette Marche,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/17/15 9:00,10000000000,,"(0.000000000, 0.000000000)"
La Baguette Marche Express,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/17/15 9:03,10000000000,,"(0.000000000, 0.000000000)"
La Cancun,,190H Sumner,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/13/12 9:35,16175674449,170105,"(42.369262000, -71.040128000)"
LA CHIVA RESTAURANT,,259 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175696200,14695,"(42.378250000, -71.029540000)"
La Gran Manzana,,22 William C Kelly,East Boston,MA,2128,Active,FS,Eating & Drinking,6/4/14 8:50,10000000000,151123,"(42.375177000, -71.038600000)"
La Hacienda Restaurant Bar,,148 Meridian,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,7/1/08 11:19,16175613737,,"(0.000000000, 0.000000000)"
LA REINA,,80 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,10003811799,14936,"(42.376080000, -71.036100000)"
LA SULTANA BAKERY,,40 MAVERICK,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175689999,,"(0.000000000, 0.000000000)"
LA TERRAZA RESTAURANT,,19 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16175615200,14651,"(42.375103000, -71.037993000)"
Latinos Restaurant,,88 Chelsea,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/26/10 10:14,16175696162,30630,"(42.372180000, -71.036400000)"
Lean & Green Gourmet,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/25/09 14:42,16175671112,,"(0.000000000, 0.000000000)"
Legal C Bar (Space BA-LO6),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,10/19/07 11:26,16175309147,,"(0.000000000, 0.000000000)"
LEGAL SEA FOOD,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/8/07 11:25,16175309147,,"(0.000000000, 0.000000000)"
LEGAL SEA FOOD,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,3/8/07 11:22,16175309147,,"(0.000000000, 0.000000000)"
Legal Sea Foods,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,3/7/17 10:14,16715937765,341351,"(0.000000000, 0.000000000)"
Legal Sea Foods (B Connector),,200 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,2/11/14 13:19,10000000000,341353,"(0.000000000, 0.000000000)"
Legal Sea Foods (Logan Airport Trmnl C),,300 Terminal,East Boston/,MA,2128,Active,FS,Eating & Drinking,7/26/12 11:07,10000000000,341352,"(0.000000000, 0.000000000)"
LITTLE ASIA RESTAURANT,,991 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:34,16179613471,158064,"(42.386375000, -71.007041000)"
LOS ARRIEROS REST,,13 Meridian,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:34,16175691666,94394,"(42.370601000, -71.038751000)"
LUCKY'S LOUNGE,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175232727,,"(0.000000000, 0.000000000)"
Lufthansa Airline,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,1/30/17 10:34,19149355310,341351,"(0.000000000, 0.000000000)"
Luna's,,945 Saratoga,East Boston,MA,2128,Active,FS,Eating & Drinking,10/23/15 11:31,16172167237,122881,"(42.386578000, -71.009157000)"
MADONNA SHRINE,,145 Gladstone,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175672100,63820,"(42.389980000, -71.005509000)"
Mama Blanca Restaurant,,1045 Saratoga,East Boston,MA,2128,Active,FS,Eating & Drinking,1/9/17 16:02,16175616400,351707,"(0.000000000, 0.000000000)"
MARIO'S RESTAURANT,,347 CHELSEA,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:34,16175678608,,"(0.000000000, 0.000000000)"
Market Cafe,,20 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/3/12 10:22,16175674725,341937,"(0.000000000, 0.000000000)"
Market Fresh Kitchen,,100 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/31/15 8:24,10000000000,341357,"(42.364539000, -71.021817000)"
Maverick Marketplace,,154 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/17/14 10:03,16175719031,92958,"(42.369908000, -71.037913000)"
Mcdonalds,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,10/4/07 14:00,17815980036,,"(0.000000000, 0.000000000)"
McDonald's,,178 Border,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/10/14 10:56,12039159525,17002,"(42.374450000, -71.040280000)"
MCDONALDS RESTAURANT,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/17/07 12:42,10000000000,,"(0.000000000, 0.000000000)"
Mehak Restaurant,,329 Sumner,East Boston,MA,2128,Active,FS,Eating & Drinking,7/31/09 14:41,17813468936,132398,"(42.367110000, -71.036070000)"
Mi Pueblito Orient Heights,,964 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/5/15 15:56,17817279547,122896,"(42.387170000, -71.008600000)"
Mi Pueblito Restaurant,,333 Border,East Boston,MA,2128,Active,FS,Eating & Drinking,6/5/08 13:08,16175693787,156052,"(42.379020000, -71.039890000)"
MI RANCHO RESTAURANT,,45 Meridian,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,17812842806,94606,"(42.371530000, -71.038840000)"
Mikes Vending L L C @ Constitution Beach,,4 Barnes,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/18/09 13:26,15089229190,8263,"(42.385880000, -71.006820000)"
MILANO'S DELI,,978 Saratoga,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16175906501,157089,"(42.387008000, -71.007351000)"
Napoles,,1233 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,5/15/08 12:13,16175674454,14605,"(42.389900000, -70.996730000)"
New Saigon Restaurant,,985 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,11/4/13 13:06,16175616500,351693,"(0.000000000, 0.000000000)"
Nfarra 2,,127 Maverick,East Boston,MA,2128,Active,FS,Eating & Drinking,9/24/12 10:12,10000000000,92950,"(42.370207000, -71.039361000)"
OLIVEIRA'S RESTAURANT,,297 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16173876069,30475,"(42.376990000, -71.030230000)"
Peet's Coffee & Tea(United Terminal BA A34),,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/23/14 12:53,15085622568,341353,"(0.000000000, 0.000000000)"
PGA Tour Grill,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/10/07 12:10,16174386338,,"(0.000000000, 0.000000000)"
Pinkberry (TRMNL C Pier B Side),,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/14/12 13:08,16175610200,341352,"(0.000000000, 0.000000000)"
POCKETS BILLIARD CLUB,,981 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:34,16175675163,157020,"(42.386267000, -71.007379000)"
Pollo Campero,,188 Border,East Boston,MA,2128,Active,FS,Eating & Drinking,2/10/11 8:08,16175689500,162343,"(42.375405000, -71.040485000)"
Pollos A La Brasa Beto's,,69 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/6/06 12:04,16179704296,14881,"(42.375683000, -71.036459000)"
Potbelly Sandwich Shop,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/18/12 8:35,10000000000,341352,"(0.000000000, 0.000000000)"
Pueblo Viejo,,309 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/1/15 10:58,16175619333,14712,"(42.378888000, -71.027796000)"
Pueblo Viejo Pupuseria & Mexican Grill,,170 Marion,East Boston,MA,2128,Active,FS,Eating & Drinking,2/11/14 10:46,16175610011,89976,"(42.376028000, -71.035541000)"
PUNTO ROJO,,16 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,15697770000,14624,"(42.375290000, -71.038300000)"
Que Arepa En Tertulias Cafe,,26 Porter,East Boston,MA,2128,Active,FS,Eating & Drinking,4/28/15 10:18,16173610707,112267,"(42.374610000, -71.037860000)"
Reelhouse Restaurant,,10 New,East Boston,MA,2128,Active,FS,Eating & Drinking,8/25/16 9:58,10000000000,355544,"(0.000000000, 0.000000000)"
Remy's,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,2/25/08 9:10,14157307532,,"(0.000000000, 0.000000000)"
RESTAURANT MONTECRISTO,,35 WM C KELLY,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:36,16175694114,,"(0.000000000, 0.000000000)"
RINCON LIMENO,,409 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,10005694942,30549,"(42.379860000, -71.026890000)"
Rinconcito Salvadoreno,,313 Meridian,East Boston,MA,2128,Active,FS,Eating & Drinking,12/26/13 10:57,16174187718,94460,"(42.377482000, -71.038994000)"
RINO'S PLACE,,256 SARATOGA,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16175677412,,"(0.000000000, 0.000000000)"
Rosticeria Cancun,,143 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/14/07 13:18,16179702574,94399,"(42.373690000, -71.038873000)"
ROYAL ROAST BEEF & SEAFOOD,,752 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,16175677779,14931,"(42.385570000, -71.010840000)"
RYO Asian Fusion,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/30/07 13:10,17813897634,,"(0.000000000, 0.000000000)"
Saigon Hut,,305 Meridian,East Boston,MA,2128,Active,FS,Eating & Drinking,7/31/15 14:19,16175671944,167625,"(42.377291000, -71.038977000)"
Salt Water Lobster Company,,  Georges Island,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/29/17 11:16,16172274321,,"(0.000000000, 0.000000000)"
Salt Water Lobster Company,,5 spectacle island,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/29/17 11:15,16172274321,,"(0.000000000, 0.000000000)"
Sammy Carlo's Delicatessen & Catering Inc.,,567 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:33,16175670058,155680,"(42.382498000, -71.018149000)"
Santarpio's Cafe Inc.,FJS INC.,111 Chelsea,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:33,17817386481,,"(0.000000000, 0.000000000)"
SBARRO RESTAURANT,,100 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/17/12 10:21,10000000000,341357,"(42.364539000, -71.021817000)"
SBARRO RESTAURANT,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,17813897634,,"(0.000000000, 0.000000000)"
SBARRO RESTAURANT TRMNL E,,500 LOGAN AIRPORT TRMNL E,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,17813897634,,"(0.000000000, 0.000000000)"
Slush King,,211 BENNINGTON,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178175366,,"(0.000000000, 0.000000000)"
Sodexo @Admirals Club American Airlines Inc.,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,7/24/08 11:23,16176345055,,"(0.000000000, 0.000000000)"
Starbucks,,100 LOGAN AIRPORT TRMNL A,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174386184,,"(0.000000000, 0.000000000)"
Starbucks Coffee,,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/5/16 10:59,16176346097,,"(0.000000000, 0.000000000)"
Starbucks Coffee,,440 William F McClellan,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,7/10/07 10:46,10000000000,149840,"(42.393484000, -71.012976000)"
Starbucks Coffee(E-FC),,500 LOGAN AIRPORT TRMNL E,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/10/07 12:25,16174386338,,"(0.000000000, 0.000000000)"
Starbucks Coffee(GateB1-3),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/10/07 12:13,16174386338,,"(0.000000000, 0.000000000)"
Starbucks Coffee(GateB7),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/10/07 12:23,16174386338,,"(0.000000000, 0.000000000)"
STEPHANIE'S,,200 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,11/8/13 9:21,10000000000,341353,"(0.000000000, 0.000000000)"
STEPHANIE'S,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,3/16/17 10:39,16175675700,341351,"(0.000000000, 0.000000000)"
Subway,,13 William C Kelly,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/14/13 13:11,16175610061,151119,"(42.374597000, -71.038799000)"
Subway,,944 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/24/14 12:31,16172017560,155885,"(42.386166000, -71.009530000)"
Suffolk Downs-Legends Turf Club,,111 WALDEMAR ,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:34,10000000000,,"(0.000000000, 0.000000000)"
SUFFOLK DOWNS-PADDUCK,,111 WALDEMAR ,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:34,10000000000,,"(0.000000000, 0.000000000)"
Sunny Cafe,,1000 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/16/16 10:59,16464790887,14507,"(42.386870000, -71.006870000)"
TACO MEX,,65 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16175939866,156782,"(42.369685000, -71.038659000)"
TACOMANIA RESTAURANT,,244 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16178182507,156245,"(42.375917000, -71.039339000)"
TAQUERIA JALISCO,,291 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16175676367,14703,"(42.378710000, -71.028180000)"
Taxi Pool Cafeteria,,226 Porter,East Boston,MA,2128,Active,FS,Eating & Drinking,11/14/14 11:42,16175698999,352818,"(0.000000000, 0.000000000)"
The Club,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,10/20/16 14:07,18177184948,341351,"(0.000000000, 0.000000000)"
The Lounge,,300 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,4/28/16 14:03,18177184948,,"(0.000000000, 0.000000000)"
THE UNITED CLUB,,200 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,4/14/14 11:22,11234567890,341353,"(0.000000000, 0.000000000)"
TOPASIO RESTAURANT,,120 Meridian,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,10000000000,94390,"(42.373480000, -71.039250000)"
Tu Metapan Restaurant,,295 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,11/7/11 10:16,16178186109,14706,"(42.378740000, -71.028130000)"
Tutti Frutti,,382 Chelsea,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/18/15 9:33,17818086908,30537,"(42.379379000, -71.027994000)"
U Food Grill,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/17/07 15:08,16177876000,341353,"(0.000000000, 0.000000000)"
U Food Grill,,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,6/26/09 12:16,16175672214,,"(0.000000000, 0.000000000)"
U S Airways Club Boston,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,12/31/08 9:26,16176344180,,"(0.000000000, 0.000000000)"
Villa Specialties,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/11/12 9:08,16175681900,341352,"(0.000000000, 0.000000000)"
Vineyard Grille,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,7/11/11 13:26,15085622568,341351,"(0.000000000, 0.000000000)"
Vineyard Grille BR-02,,200 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,12/9/15 13:04,18573055002,341353,"(0.000000000, 0.000000000)"
Vino Volo,,100 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,5/23/13 11:27,10000000000,341357,"(42.364539000, -71.021817000)"
Vino Volo,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,5/3/12 11:14,10000000000,341351,"(0.000000000, 0.000000000)"
Virgin Atlantic Airways Clubhouse,,500 LOGAN AIRPORT TRMNL E,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,8/29/07 13:07,18663723035,,"(0.000000000, 0.000000000)"
Wahlburgers,,300 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,9/3/15 13:24,17037292333,,"(0.000000000, 0.000000000)"
Wendy's (Logan Airport T-A),,  Logan Airport  Trmnl A,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/9/07 9:35,18004265971,,"(0.000000000, 0.000000000)"
Wing Stop,,173 Border,East Boston,MA,2128,Active,FS,Eating & Drinking,8/9/16 11:10,19563504343,420832,"(0.000000000, 0.000000000)"
Woddy's Pizza Inc.,,1035 Saratoga,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/27/17 11:58,16178748649,122391,"(42.385990000, -71.005260000)"